Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Ophichthus Ophis,1,0,1,4,5,0.0,0.5049,0.0017
Opisthonema Oglinum,1,0,0,18,18,0.0,0.5228,0.0016
Ogcocephalus Nasutus,1,0,1,5,6,1.33,0.5049,0.0017
Acanthostracion Quadricomis,1,0,0,4,4,0.0,0.5024,0.0016
Gerres Cinereus,1,0,1,10,11,0.74,0.5137,0.0017
Heteroconger Longissimus,1,0,0,14,14,0.0,0.5176,0.0016
Heteropriacanthus Cruentatus,1,0,1,10,11,0.06,0.5137,0.0016
Myrichthys Breviceps,1,0,0,11,11,0.0,0.5137,0.0016
Myrichthys Ocellatus,1,0,0,11,11,0.0,0.5137,0.0016
Antennarius Striatus,1,0,1,8,9,7.0,0.5061,0.002
Thalassoma Bifasciatum,1,0,0,12,12,0.0,0.5124,0.0016
Chromis Cyanea,1,0,0,12,12,0.0,0.5124,0.0016
Diplodus Argenteus Caudimacula,1,0,0,9,9,0.0,0.5099,0.0016
Echidna Catenata,1,0,0,12,12,0.0,0.515,0.0016
Halichoeres Garnoti,1,0,1,14,15,1.67,0.5189,0.0017
Hemiramphus Balao,1,0,1,13,14,0.06,0.5176,0.0016
Chromis Multilineata,1,0,0,14,14,0.0,0.5176,0.0016
Clepticus Parrae,1,0,0,13,13,0.0,0.5163,0.0016
Equetus Punctatus,1,0,0,10,10,0.0,0.5124,0.0016
Inermia Vittata,1,0,0,13,13,0.0,0.5163,0.0016
Kyphosus Sectarix,1,0,0,3,3,0.0,0.5012,0.0016
Chaetodipterus Faber,1,0,0,3,3,0.0,0.5012,0.0016
Platybelone Argalus Argalus,1,0,1,13,14,0.06,0.5176,0.0016
Stegastes Planifrons,1,0,0,13,13,0.0,0.5137,0.0016
Holocentrus Coruscus,1,0,0,14,14,0.0,0.5137,0.0016
Microspathodon Chrysurus,1,0,0,11,11,0.0,0.5137,0.0016
Anocha Lyolepis,1,0,0,20,20,0.0,0.5255,0.0016
Stegastes Variabillis,1,0,0,11,11,0.0,0.5099,0.0016
Equetus Lanceolatus,1,0,0,10,10,0.0,0.5124,0.0016
Odontoscion Dentex,1,0,0,11,11,0.0,0.5137,0.0016
Stegastes Leucostictus,1,0,0,11,11,0.0,0.5099,0.0016
Canthidermis Sufflamen,1,0,0,4,4,0.0,0.5024,0.0016
Hemiramphus Brasiliensis,1,0,1,14,15,0.06,0.5189,0.0016
Kyphosus Incisor,1,0,0,3,3,0.0,0.5012,0.0016
Scorpaena Grandicornis,1,0,0,11,11,0.0,0.5137,0.0016
Calamus Bajonado,1,0,0,4,4,0.0,0.5024,0.0016
Bothus Ocellatus,1,0,1,5,6,0.69,0.5074,0.0018
Eucinostomus Argenteus,1,0,1,10,11,0.74,0.5137,0.0017
Lactophrys Bicaudalis,1,0,0,3,3,0.0,0.5012,0.0016
Pareques Acuminatus,1,0,0,10,10,0.0,0.5124,0.0016
Phaeoptyx Maculatus,1,0,0,10,10,0.0,0.5074,0.0016
Scyllarid Lobsters,1,0,0,8,8,0.0,0.4469,0.0016
Anisotremus Surinamensis,1,0,0,3,3,0.0,0.5012,0.0016
Xyrichtys Novacula,1,0,0,11,11,0.0,0.5137,0.0016
Balistes Vetula,1,0,2,4,6,7.15,0.5074,0.0018
Lactophrys Trigonus,1,0,0,3,3,0.0,0.5012,0.0016
Labrisomus Guppyi,1,0,0,3,3,0.0,0.4952,0.0016
Pomacanthus Paru,1,0,0,3,3,0.0,0.5012,0.0016
Amblycirrhitus Pinos,1,0,0,9,9,0.0,0.5061,0.0016
Sphyraena Borealis,1,0,1,5,6,0.28,0.5049,0.0017
Acanthostracion Polygonius,1,0,0,3,3,0.0,0.5012,0.0016
Calamus Pennatula,1,0,1,4,5,0.72,0.5049,0.0017
Priacanthus Arenatus,1,0,2,4,6,1.17,0.5049,0.0017
Pempheris Schomburki,1,0,0,9,9,0.0,0.5112,0.0016
Calamus Calamus,1,0,1,4,5,0.72,0.5049,0.0017
Serranus Tigrinus,1,0,0,13,13,0.0,0.5163,0.0016
Dactylopterus Volitans,1,0,0,3,3,0.0,0.5012,0.0016
Lactophrys Triqueter,1,0,1,3,4,0.15,0.5037,0.0017
Atherinomorus Stipes,1,0,0,25,25,0.0,0.5323,0.0016
Pomacanthus Arcuatus,1,0,0,3,3,0.0,0.5012,0.0016
Opistognathus Maxillosus,1,0,0,9,9,0.0,0.5086,0.0016
Archosargus Rhomboidalis,1,0,0,2,2,0.0,0.5,0.0016
Xyrichtys Splendens,1,0,0,9,9,0.0,0.5074,0.0016
Gnatholepis Thompsoni,1,0,0,4,4,0.0,0.4964,0.0016
Gramma Melacara,1,0,0,8,8,0.0,0.5049,0.0016
Opistognathus Aurifrons,1,0,0,9,9,0.0,0.5086,0.0016
Phaeoptyx Conklini,1,0,0,11,11,0.0,0.5086,0.0016
Elacatinus Evelynae,1,0,0,4,4,0.0,0.4964,0.0016
Gramma Loreto,1,0,0,8,8,0.0,0.5049,0.0016
Canthigaster Rostrata,1,0,0,4,4,0.0,0.4988,0.0016
Centropyge Argi,1,0,0,1,1,0.0,0.4905,0.0016
Opistognathus Whitehurstii,1,0,0,2,2,0.0,0.4964,0.0016
