Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Pontoporeia Femorata,1,0,0,2,2,0.0,0.3651,0.0015
Syrrhoe Crenulata,1,0,0,2,2,0.0,0.3651,0.0015
Monoculodes Longirostris,1,0,11,1,12,1.91,0.389,0.0048
Melita Formosa,1,0,0,2,2,0.0,0.3717,0.0015
Unciola Leucopis,1,0,0,1,1,0.0,0.3633,0.0015
Orchomenella Minuta,1,0,0,1,1,0.0,0.3633,0.0015
Corophium Crassicorne,1,0,0,1,1,0.0,0.3633,0.0015
Ischyrocerus Anguipes,1,0,0,3,3,0.0,0.3723,0.0015
Lamprops Fuscatus,1,0,0,3,3,0.0,0.3723,0.0015
Weyprechtia Pinguis,1,0,0,1,1,0.0,0.3633,0.0015
Brachydiastylis Resima,1,0,0,1,1,0.0,0.3633,0.0015
Neoscolecithrix Farrani,1,0,0,8,8,0.0,0.3754,0.0015
Halocynthia Pyriformis,1,0,0,4,4,0.0,0.3104,0.0015
Styela Rustica,1,0,0,3,3,0.0,0.3096,0.0015
Brada Inhabilisa,1,0,0,1,1,0.0,0.2916,0.0015
Yoldiella Frigida,1,0,0,2,2,0.0,0.3445,0.0015
Yoldiella Lenticula,1,0,0,2,2,0.0,0.3445,0.0015
Yoldiella Solidula,1,0,0,2,2,0.0,0.3445,0.0015
Yoldia Hyperborea,1,0,0,2,2,0.0,0.3445,0.0015
Larus Hyperboreus,1,0,24,0,24,0.0,0.4669,0.077
Serripes Groenlandicus,1,0,0,1,1,0.0,0.3038,0.0015
Musculus Discors,1,0,0,2,2,0.0,0.3075,0.0015
Thracia Myopsis,1,0,0,1,1,0.0,0.3038,0.0015
Macoma Moesta,1,0,0,4,4,0.0,0.361,0.0015
Liocyma Fluctuosa,1,0,0,1,1,0.0,0.3038,0.0015
Musculus Corrugatus,1,0,0,2,2,0.0,0.3075,0.0015
Pandora Glacialis,1,0,0,2,2,0.0,0.3075,0.0015
Ennucula Tenuis,1,0,0,1,1,0.0,0.3038,0.0015
Astarte Borealis,1,0,0,1,1,0.0,0.3038,0.0015
Macoma Calcarea,1,0,0,4,4,0.0,0.361,0.0015
Lyonsia Arenosa,1,0,0,1,1,0.0,0.3038,0.0015
Hiatella Arctica,1,0,0,1,1,0.0,0.3038,0.0015
Nuculana Pernula,1,0,0,2,2,0.0,0.3075,0.0015
Thyasira Gouldi,1,0,0,1,1,0.0,0.3038,0.0015
Astarte Montagui,1,0,0,1,1,0.0,0.3038,0.0015
Thyasira Dunbari,1,0,0,1,1,0.0,0.3038,0.0015
Margarites Groenlandicus,1,0,1,0,1,0.0,0.278,0.0015
Margarites Helicinus,1,0,1,0,1,0.0,0.278,0.0015
Menestho Albula,1,0,1,0,1,0.0,0.278,0.0015
Menestho Truncatula,1,0,1,0,1,0.0,0.278,0.0015
Odobenus Rosmarus,1,0,8,1,9,6.75,0.2759,0.0053
Oenopota Impressa,1,0,1,0,1,0.0,0.278,0.0015
Euspira Pallida,1,0,0,1,1,0.0,0.31,0.0015
Frigidoalvania Cruenta,1,0,0,1,1,0.0,0.31,0.0015
Elachisina Globuloides,1,0,0,1,1,0.0,0.31,0.0015
Cylichna Oculata,1,0,0,1,1,0.0,0.31,0.0015
Phoca Vitulina,1,0,8,1,9,6.09,0.3113,0.0034
Puncturella Noachina,1,0,7,0,7,0.0,0.305,0.003
Pusa Hispida,1,0,13,1,14,26.67,0.3333,0.0052
Retusa Obtusa,1,0,5,0,5,0.0,0.277,0.0024
Rissa Tridactyla,1,0,5,0,5,0.0,0.3038,0.0025
Solariella Varicosa,1,0,1,0,1,0.0,0.2568,0.0015
Somateria Mollissima,1,0,16,0,16,0.0,0.2927,0.003
Sterna Paradisaea,1,0,8,0,8,0.0,0.3252,0.0042
Trophon Clathratus,1,0,16,0,16,0.0,0.2927,0.003
Ursus Maritimus,1,0,5,0,5,0.0,0.2665,0.0185
