
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
USA

Grafo carregado: 585 espécies, 13895 interações
Espécies basais (grau de entrada=0): 313
Robustez Inicial: 1.0000
170. Chaetopleura Apiculata                             ->   1 extinções | Robustez Final: 0.9983
171. Clione Limacina                                    ->   1 extinções | Robustez Final: 0.9983
172. Cratena Pilata                                     ->   1 extinções | Robustez Final: 0.9983
173. Crepidula Convexa                                  ->   1 extinções | Robustez Final: 0.9983
174. Crepidula Fornicata                                ->   1 extinções | Robustez Final: 0.9983
175. Doridella Obscura                                  ->   1 extinções | Robustez Final: 0.9983
176. Doris Verrucosa                                    ->   1 extinções | Robustez Final: 0.9983
177. Elysia Chlorotica                                  ->   1 extinções | Robustez Final: 0.9983
178. Elysia Catula                                      ->   1 extinções | Robustez Final: 0.9983
179. Epitonium Rupicola                                 ->   1 extinções | Robustez Final: 0.9983
180. Haminoea Solitaria                                 ->   1 extinções | Robustez Final: 0.9983
181. Hermaea Cruciata                                   ->   1 extinções | Robustez Final: 0.9983
182. Limacina Helicina                                  ->   1 extinções | Robustez Final: 0.9983
183. Littorina Irrorata                                 ->   1 extinções | Robustez Final: 0.9983
184. Mitrella Lunata                                    ->   1 extinções | Robustez Final: 0.9983
185. Nassarius Vibex                                    ->   1 extinções | Robustez Final: 0.9983
186. Neverita Duplicata                                 ->   1 extinções | Robustez Final: 0.9983
187. Polycerella Conyma                                 ->   1 extinções | Robustez Final: 0.9983
188. Japonactaeon Punctostriatus                        ->   1 extinções | Robustez Final: 0.9983
189. Stiliger Fuscatus                                  ->   1 extinções | Robustez Final: 0.9983
190. Urosalpinx Cinerea                                 ->   1 extinções | Robustez Final: 0.9983
191. Aequipecten Irradians                              ->   1 extinções | Robustez Final: 0.9983
192. Anadara Ovalis                                     ->   1 extinções | Robustez Final: 0.9983
193. Anadara Transversa                                 ->   1 extinções | Robustez Final: 0.9983
194. Anomia Simplex                                     ->   1 extinções | Robustez Final: 0.9983
195. Bankia Gouldi                                      ->   1 extinções | Robustez Final: 0.9983
196. Brachidontes Recurvus                              ->   1 extinções | Robustez Final: 0.9983
197. Crassostrea Virginica                              ->   1 extinções | Robustez Final: 0.9983
198. Crassostrea Ariakensis                             ->   1 extinções | Robustez Final: 0.9983
199. Dreissena Polymorpha                               ->   1 extinções | Robustez Final: 0.9983
200. Ensis Directus                                     ->   1 extinções | Robustez Final: 0.9983
201. Gemma Gemma                                        ->   1 extinções | Robustez Final: 0.9983
202. Geukensia Demissa                                  ->   1 extinções | Robustez Final: 0.9983
203. Ischadium Recurvum                                 ->   1 extinções | Robustez Final: 0.9983
204. Macoma Balthica                                    ->   1 extinções | Robustez Final: 0.9983
205. Macoma Tenta                                       ->   1 extinções | Robustez Final: 0.9983
206. Macoma Phenax                                      ->   1 extinções | Robustez Final: 0.9983
207. Macoma Mitchelli                                   ->   1 extinções | Robustez Final: 0.9983
208. Mercenaria Mercenaria                              ->   1 extinções | Robustez Final: 0.9983
209. Mulinia Lateralis                                  ->   1 extinções | Robustez Final: 0.9983
210. Mytilopsis Leucophaeata                            ->   1 extinções | Robustez Final: 0.9983
