Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Scenedesmus Serratus,1,0,0,2,2,0.0,0.3101,0.0005
Synedra Nana,1,0,0,6,6,0.0,0.3468,0.0005
Gastropus Hyptopus,1,0,2,12,14,4.66,0.3837,0.0005
Coelosphaerium Pallidum,1,0,0,5,5,0.0,0.3111,0.0005
Anabaena Flos-Aquae,1,0,0,6,6,0.0,0.336,0.0005
Coregonus Clupeaformis,1,0,24,3,27,52.88,0.3893,0.0023
Micropterus Salmoides,1,0,13,5,18,503.82,0.3544,0.019
Prosopium Cylindraceum,1,0,0,3,3,0.0,0.2733,0.0005
Micropterus Dolomieui,1,0,13,3,16,0.0,0.3529,0.019
Coregonus Artedii,1,0,24,3,27,52.88,0.3893,0.0023
Semotilus Corporalis,1,0,88,6,94,1458.0,0.4949,0.0035
Osmerus Mordax,1,0,28,5,33,89.92,0.3941,0.0025
Rhinichthys Atratulus,1,0,8,5,13,22.26,0.3167,0.0009
Oncorhynchus Mykiss,1,0,8,3,11,0.0,0.3589,0.0217
Chlamydomonas Sp.,1,0,0,12,12,0.0,0.3413,0.0005
Lepadella Cristata,1,0,2,3,5,2.21,0.3641,0.0005
Euchlanis Calpidia,1,0,3,3,6,17.93,0.3645,0.0006
Euglena Acus,1,0,0,5,5,0.0,0.3113,0.0005
Synedra Ulna,1,0,0,7,7,0.0,0.347,0.0005
Euchlanis Triquetra,1,0,2,12,14,4.77,0.3785,0.0005
Pimephales Promelas,1,0,29,3,32,36.26,0.3927,0.0023
Scenedesmus Arcuatus,1,0,0,3,3,0.0,0.3349,0.0005
Lecane Mira,1,0,2,1,3,0.14,0.2966,0.0005
Rhabdoderma Gorksii,1,0,0,4,4,0.0,0.3108,0.0005
Trichocerca Porcellus,1,0,2,6,8,3.99,0.3724,0.0005
Lepadella Triptera,1,0,2,0,2,0.0,0.2635,0.0005
Loligo Pealei,1,0,0,34,34,0.0,0.4398,0.0005
Limulus Polyphemus,1,0,92,30,122,3345.99,0.4691,0.0021
Lolliguncula Brevis,1,0,0,29,29,0.0,0.4345,0.0005
Illex Illecebrosus,1,0,0,28,28,0.0,0.4294,0.0005
Acteocina Canaliculata,1,0,0,24,24,0.0,0.4192,0.0005
Acteon Punctostriatus,1,0,50,23,73,192.33,0.4613,0.0009
Bittiolum Varium,1,0,0,26,26,0.0,0.4217,0.0005
Chaetopleura Apiculata,1,0,0,23,23,0.0,0.4171,0.0005
Clione Limacina,1,0,51,24,75,193.33,0.462,0.001
Cratena Pilata,1,0,11,23,34,5222.35,0.4263,0.0038
Crepidula Convexa,1,0,1,26,27,49.62,0.4201,0.0007
Crepidula Fornicata,1,0,50,24,74,210.1,0.4628,0.0009
Doridella Obscura,1,0,1,25,26,48.38,0.4214,0.0007
Doris Verrucosa,1,0,1,23,24,96.0,0.4177,0.0007
Elysia Chlorotica,1,0,0,23,23,0.0,0.4171,0.0005
Elysia Catula,1,0,0,23,23,0.0,0.4171,0.0005
Epitonium Rupicola,1,0,51,23,74,192.33,0.4617,0.001
Haminoea Solitaria,1,0,50,23,73,192.33,0.4613,0.0009
Hermaea Cruciata,1,0,50,23,73,192.33,0.4613,0.0009
Limacina Helicina,1,0,51,26,77,192.33,0.462,0.001
Littorina Irrorata,1,0,0,24,24,0.0,0.4192,0.0005
Mitrella Lunata,1,0,0,23,23,0.0,0.4171,0.0005
Nassarius Vibex,1,0,35,26,61,236.99,0.4388,0.0009
Neverita Duplicata,1,0,1,25,26,3.0,0.4223,0.0005
Polycerella Conyma,1,0,1,23,24,98.0,0.4177,0.0009
Japonactaeon Punctostriatus,1,0,35,23,58,218.74,0.4342,0.0009
Stiliger Fuscatus,1,0,0,23,23,0.0,0.4171,0.0005
Urosalpinx Cinerea,1,0,7,24,31,404.42,0.4229,0.0009
Aequipecten Irradians,1,0,0,30,30,0.0,0.4238,0.0005
