Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Navicula Subminuscula,1,0,0,62,62,0.0,0.5377,0.0008
Bithynia Tentaculata,1,0,0,7,7,0.0,0.4452,0.0008
Chaetocladius Dentiforceps,1,0,36,28,64,23.41,0.5466,0.0012
Chaetopteryx Villosa,1,0,81,4,85,7.46,0.5421,0.0025
Drusus Annulatus,1,0,38,5,43,4.64,0.4528,0.0013
Leuctra Fusca,1,0,38,17,55,39.19,0.5366,0.0013
Parakiefferiella Bathophila,1,0,36,28,64,23.41,0.5466,0.0012
Phaenopsectra Flavipes,1,0,51,35,86,54.29,0.5727,0.0016
Salmo Salar,1,0,57,6,63,155.87,0.5511,0.0606
Cheumatopsyche Lepida,1,0,0,2,2,0.0,0.375,0.0008
Glossiphonia Complanata,1,0,33,5,38,1.62,0.5106,0.0053
Oecetis Ochracea,1,0,17,0,17,0.0,0.4452,0.0016
Cocconeis Neothumensis,1,0,0,48,48,0.0,0.5166,0.0008
Baetis Buceratus,1,0,29,14,43,4.26,0.5197,0.0011
Paratanytarsus Penicillatus,1,0,35,27,62,19.94,0.5432,0.0013
Potthastia Longimana,1,0,28,27,55,13.15,0.5333,0.0013
Ephemera Vulgata,1,0,30,9,39,4.22,0.4991,0.0011
Perca Fluviatilis,1,0,31,1,32,0.11,0.4871,0.0059
Simulium Erythrocephalum,1,0,38,18,56,5.01,0.5269,0.002
Achnanthes Conspicua,1,0,0,31,31,0.0,0.4972,0.0008
Achnanthes Lemmermanni,1,0,0,31,31,0.0,0.4972,0.0008
Surirella Angusta,1,0,0,29,29,0.0,0.4962,0.0008
Diploneis Oculata,1,0,0,15,15,0.0,0.4698,0.0008
Mystacides Azurea,1,0,0,7,7,0.0,0.4689,0.0008
Helobdella Stagnalis,1,0,21,0,21,0.0,0.4567,0.0027
Valvata Piscinalis,1,0,31,1,32,0.5,0.4356,0.0011
